,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.22047577165749513,-0.02557518671914009,-0.17515859058825495,0.0901631039848184,0.16004767792972233,0.28443673123805746,0.20792692782780253,0.1502090575133966,-0.14683859444530942,-0.20079712799224342,-0.2541194787116369,-0.003732429727192559,-0.0026142092773017685,0.22053385677644874
cough,0.22047577165749513,0.0,-0.2236809826066969,0.15233677188813052,-0.2161870378195776,-0.1519874904049105,-0.4081247547308124,-0.10279455195629872,-0.22294164446835849,-0.06464777370602293,0.08935519696344556,-0.13498128897239076,0.18253987029810145,0.006754724746593338,0.004516960615633622
fever,-0.02557518671914009,-0.2236809826066969,0.0,0.13394397986685938,-0.12111240408026541,0.1970917116439474,0.1681602550673254,-0.06039474456270578,-0.022668367284533714,0.15059766024796328,-0.2533275914886049,0.1561409305601253,-0.21229766110742027,-0.03405112103969093,-0.0868925528005909
headache,-0.17515859058825495,0.15233677188813052,0.13394397986685938,0.0,0.28966780547264975,0.16208361084428607,0.08880217986352691,0.04548530561759053,-0.305966314849905,-0.12269395783688017,-0.13385531317063987,-0.17917938828742888,0.051195024218546416,-0.0643290140820141,-0.08922410938846123
lagnat,0.0901631039848184,-0.2161870378195776,-0.12111240408026541,0.28966780547264975,0.0,0.05036068773484574,-0.10956892001544148,0.19467400275768204,-0.19266017072751293,-0.2002296022450624,-0.246704322503569,0.07342224290964891,-0.03338299543045384,-0.36167417000381435,0.2211266319437266
rashes,0.16004767792972233,-0.1519874904049105,0.1970917116439474,0.16208361084428607,0.05036068773484574,0.0,0.596017844432919,-0.033926843058034124,-0.21765123759907762,-0.05576320814643365,-0.033883338242459364,-0.34398743325581776,-0.09417648260847529,0.06937440673473151,-0.07713994171246041
sipon,0.28443673123805746,-0.4081247547308124,0.1681602550673254,0.08880217986352691,-0.10956892001544148,0.596017844432919,0.0,-0.13716101461024902,0.08090086085632857,-0.1403712910392188,-0.3281359693481052,-0.06209263895517314,-0.1331000305836718,0.07013761383712168,-0.3379073018805313
ubo,0.20792692782780253,-0.10279455195629872,-0.06039474456270578,0.04548530561759053,0.19467400275768204,-0.033926843058034124,-0.13716101461024902,0.0,0.5434921784988163,0.003982275124096635,-0.14702197410345924,0.3741392326731417,0.17308763950588046,-0.2700925328713436,0.24231607722415957
ecq,0.1502090575133966,-0.22294164446835849,-0.022668367284533714,-0.305966314849905,-0.19266017072751293,-0.21765123759907762,0.08090086085632857,0.5434921784988163,0.0,-0.056115005491140055,-0.1006291138200811,0.47092762381804437,0.1461381034895581,0.15620796675837176,0.29661696367998597
face-shield,-0.14683859444530942,-0.06464777370602293,0.15059766024796328,-0.12269395783688017,-0.2002296022450624,-0.05576320814643365,-0.1403712910392188,0.003982275124096635,-0.056115005491140055,0.0,0.5777448301100153,-0.312946321053485,0.1303926049268737,-0.18696167616840986,-0.2224987283128677
Frontliners,-0.20079712799224342,0.08935519696344556,-0.2533275914886049,-0.13385531317063987,-0.246704322503569,-0.033883338242459364,-0.3281359693481052,-0.14702197410345924,-0.1006291138200811,0.5777448301100153,0.0,-0.4965429423542954,0.5928409858423355,-0.1283073655708598,-0.16590342626559768
masks,-0.2541194787116369,-0.13498128897239076,0.1561409305601253,-0.17917938828742888,0.07342224290964891,-0.34398743325581776,-0.06209263895517314,0.3741392326731417,0.47092762381804437,-0.312946321053485,-0.4965429423542954,0.0,0.17856226714537735,0.06772827607911014,0.421425956949008
Quarantine,-0.003732429727192559,0.18253987029810145,-0.21229766110742027,0.051195024218546416,-0.03338299543045384,-0.09417648260847529,-0.1331000305836718,0.17308763950588046,0.1461381034895581,0.1303926049268737,0.5928409858423355,0.17856226714537735,0.0,-0.08946178248629245,0.13017115813190017
social-distancing,-0.0026142092773017685,0.006754724746593338,-0.03405112103969093,-0.0643290140820141,-0.36167417000381435,0.06937440673473151,0.07013761383712168,-0.2700925328713436,0.15620796675837176,-0.18696167616840986,-0.1283073655708598,0.06772827607911014,-0.08946178248629245,0.0,0.17534402352929618
work-from-home,0.22053385677644874,0.004516960615633622,-0.0868925528005909,-0.08922410938846123,0.2211266319437266,-0.07713994171246041,-0.3379073018805313,0.24231607722415957,0.29661696367998597,-0.2224987283128677,-0.16590342626559768,0.421425956949008,0.13017115813190017,0.17534402352929618,0.0
