,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,-0.19636841833659807,0.006090543308821091,0.12416125825432375,0.2887907650078934,0.05992527708439757,-0.34655857950870694,-0.04163442847686417,-0.28111228851897857,0.13480078494795159,-0.23052550779792272,0.20775373085779417,0.06533955767657948,-0.1779351716119799,0.2388937331667002
cough,-0.19636841833659807,1.0,0.28389249697286484,0.07935182441048484,-0.05577754912826517,-0.3905620490254243,0.3457176317908754,-0.165360064805024,-0.16397672916644035,0.017032268832032304,0.006407191456549442,-0.09073229703591348,-0.1573899700747861,0.11883939535749975,-0.24039988428958112
fever,0.006090543308821091,0.28389249697286484,1.0,-0.17178793760219047,-0.12280348562786911,-0.05127766030634728,0.40215876663593836,-0.18209865195358205,0.1186844844992811,0.3239723546362016,0.3797796086758155,-0.10016080666553238,0.5473750887628722,0.19451336575699874,0.761211569136821
headache,0.12416125825432375,0.07935182441048484,-0.17178793760219047,1.0,-0.03172053114449357,0.17588540379315395,-0.3725866104021079,0.004410064588068836,0.07991496479806016,-0.2867146694237029,-0.22019757144129054,0.14502524364275585,-0.13382557792338873,0.10393029304995585,-0.21534374866620992
lagnat,0.2887907650078934,-0.05577754912826517,-0.12280348562786911,-0.03172053114449357,1.0,-0.16519186606996905,-0.19075593362862933,0.32192753757745624,0.0584159101923468,0.2654376615000128,-0.022934802145451315,0.1843477339164366,0.06276685011710534,0.17657758112659622,0.0458599021180179
rashes,0.05992527708439757,-0.3905620490254243,-0.05127766030634728,0.17588540379315395,-0.16519186606996905,1.0,-0.11862555316767773,-0.43117006999989826,-0.1397581520714825,-0.4497625604817959,-0.267108274473022,-0.15987809988090237,-0.2256570277130101,-0.2659210165888451,0.032078560246276186
sipon,-0.34655857950870694,0.3457176317908754,0.40215876663593836,-0.3725866104021079,-0.19075593362862933,-0.11862555316767773,1.0,-0.0020377787161488274,0.07004313071094259,0.23373992822812908,0.12122333616024665,-0.34240390642872875,0.12194685306217284,-0.08477698833459998,0.42733952278288556
ubo,-0.04163442847686417,-0.165360064805024,-0.18209865195358205,0.004410064588068836,0.32192753757745624,-0.43117006999989826,-0.0020377787161488274,1.0,-0.11435192599502773,0.5463428294199035,-0.24349197097053663,0.15601850140117868,-0.18255130863275773,-0.12467686349351317,-0.9887921044079554
ecq,-0.28111228851897857,-0.16397672916644035,0.1186844844992811,0.07991496479806016,0.0584159101923468,-0.1397581520714825,0.07004313071094259,-0.11435192599502773,1.0,0.3112904832366192,0.46361899887106695,0.20068397197792023,0.5432532362618858,0.5146892225936037,0.7851397227771849
face-shield,0.13480078494795159,0.017032268832032304,0.3239723546362016,-0.2867146694237029,0.2654376615000128,-0.4497625604817959,0.23373992822812908,0.5463428294199035,0.3112904832366192,1.0,0.33670572880728683,0.46892773867684595,0.35479058256460366,0.2622167572520354,0.7153323126045403
Frontliners,-0.23052550779792272,0.006407191456549442,0.3797796086758155,-0.22019757144129054,-0.022934802145451315,-0.267108274473022,0.12122333616024665,-0.24349197097053663,0.46361899887106695,0.33670572880728683,1.0,0.03523373683868136,0.45471896005008305,0.6667153260335075,0.5463272571758816
masks,0.20775373085779417,-0.09073229703591348,-0.10016080666553238,0.14502524364275585,0.1843477339164366,-0.15987809988090237,-0.34240390642872875,0.15601850140117868,0.20068397197792023,0.46892773867684595,0.03523373683868136,1.0,0.11896209306475425,-0.033896528682377,0.19706618938343293
Quarantine,0.06533955767657948,-0.1573899700747861,0.5473750887628722,-0.13382557792338873,0.06276685011710534,-0.2256570277130101,0.12194685306217284,-0.18255130863275773,0.5432532362618858,0.35479058256460366,0.45471896005008305,0.11896209306475425,1.0,0.23287943719417223,0.5132248457022042
social-distancing,-0.1779351716119799,0.11883939535749975,0.19451336575699874,0.10393029304995585,0.17657758112659622,-0.2659210165888451,-0.08477698833459998,-0.12467686349351317,0.5146892225936037,0.2622167572520354,0.6667153260335075,-0.033896528682377,0.23287943719417223,1.0,0.40678120212888347
work-from-home,0.2388937331667002,-0.24039988428958112,0.761211569136821,-0.21534374866620992,0.0458599021180179,0.032078560246276186,0.42733952278288556,-0.9887921044079554,0.7851397227771849,0.7153323126045403,0.5463272571758816,0.19706618938343293,0.5132248457022042,0.40678120212888347,1.0
