,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.2915393032726112,0.22852083491191982,0.17242314464423977,0.07058362701754481,-0.21573453569953624,0.29283213479237397,0.0008341804718623198,-0.12370695516064242,-0.608330874838897,-0.06591822873241424,-0.09762823619843194,0.03276586682641988,-0.12730464797525692,-0.12321110173158133
cough,0.2915393032726112,0.0,-0.006085110225215267,0.10129494194230446,-0.11920017755874619,-0.12215322006993008,0.27488521243981534,0.15399532839103974,-0.017911963282800203,0.5621408323920325,-0.0249003106223888,0.0021639065491219803,0.11756472561190827,-0.26729434416956876,0.07029156881805063
fever,0.22852083491191982,-0.006085110225215267,0.0,0.1620167010295103,-0.19628271594802166,-0.07835570751832352,0.043333890455649615,0.08302675534596585,-0.504208041948673,-0.784696801642374,-0.46545118408426406,-0.031205519331204398,-0.3025648062251727,-0.015942958942769765,-0.21044921865934207
headache,0.17242314464423977,0.10129494194230446,0.1620167010295103,0.0,-0.17185372544060046,-0.14288323903000102,-0.05450121810883877,-0.13788692062321875,-0.05886927616187802,-0.7245475270576517,0.16899241234277362,0.08393507811757235,-0.20575244348388025,0.04186328232520832,0.11270527354199254
lagnat,0.07058362701754481,-0.11920017755874619,-0.19628271594802166,-0.17185372544060046,0.0,0.060229487628873556,0.014954592327162185,-0.44449974048091867,-0.1581523697657406,1.0000000000000002,-0.0835673613900154,-0.47675885331315787,-0.06650285963723165,-0.5803742207919244,-0.40562083954474887
rashes,-0.21573453569953624,-0.12215322006993008,-0.07835570751832352,-0.14288323903000102,0.060229487628873556,0.0,-0.011700619833252122,-0.2967012915096234,-0.004279383664343508,0.7042019277087341,-0.15509082686588804,0.1663233473824791,0.15197808068679813,0.12392102033641196,-0.12039054088718484
sipon,0.29283213479237397,0.27488521243981534,0.043333890455649615,-0.05450121810883877,0.014954592327162185,-0.011700619833252122,0.0,0.18994777505375315,0.4060213742655123,0.0,0.06371066809448142,0.10789216639399889,0.5645693011653685,0.011001047759903234,0.06830392056928082
ubo,0.0008341804718623198,0.15399532839103974,0.08302675534596585,-0.13788692062321875,-0.44449974048091867,-0.2967012915096234,0.18994777505375315,0.0,0.16167775976481027,-0.3889176256633624,-0.019539093329965986,0.2967047375647753,0.02185621075813795,0.35294378877935356,0.5204057833108789
ecq,-0.12370695516064242,-0.017911963282800203,-0.504208041948673,-0.05886927616187802,-0.1581523697657406,-0.004279383664343508,0.4060213742655123,0.16167775976481027,0.0,0.9215554186379422,0.5491952036173984,-0.05958101669880026,0.7328427547911731,0.1270917089003145,0.21300282260045383
face-shield,-0.608330874838897,0.5621408323920325,-0.784696801642374,-0.7245475270576517,1.0000000000000002,0.7042019277087341,0.0,-0.3889176256633624,0.9215554186379422,0.0,0.3769927337994459,0.45795757872394366,0.8023226011790533,-0.8467916309503668,-0.20363766404222447
Frontliners,-0.06591822873241424,-0.0249003106223888,-0.46545118408426406,0.16899241234277362,-0.0835673613900154,-0.15509082686588804,0.06371066809448142,-0.019539093329965986,0.5491952036173984,0.3769927337994459,0.0,0.07448513562082339,0.13166999653425607,0.07062684227470467,0.39305761749070434
masks,-0.09762823619843194,0.0021639065491219803,-0.031205519331204398,0.08393507811757235,-0.47675885331315787,0.1663233473824791,0.10789216639399889,0.2967047375647753,-0.05958101669880026,0.45795757872394366,0.07448513562082339,0.0,-0.08450428789474067,0.7970416949965436,0.2908634666244045
Quarantine,0.03276586682641988,0.11756472561190827,-0.3025648062251727,-0.20575244348388025,-0.06650285963723165,0.15197808068679813,0.5645693011653685,0.02185621075813795,0.7328427547911731,0.8023226011790533,0.13166999653425607,-0.08450428789474067,0.0,0.009261449356483068,0.05366448651827146
social-distancing,-0.12730464797525692,-0.26729434416956876,-0.015942958942769765,0.04186328232520832,-0.5803742207919244,0.12392102033641196,0.011001047759903234,0.35294378877935356,0.1270917089003145,-0.8467916309503668,0.07062684227470467,0.7970416949965436,0.009261449356483068,0.0,0.3689287135235372
work-from-home,-0.12321110173158133,0.07029156881805063,-0.21044921865934207,0.11270527354199254,-0.40562083954474887,-0.12039054088718484,0.06830392056928082,0.5204057833108789,0.21300282260045383,-0.20363766404222447,0.39305761749070434,0.2908634666244045,0.05366448651827146,0.3689287135235372,0.0
