,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,-0.04926117909541036,0.4030755062404339,0.14136716710573557,0.27662578392259657,0.06469931815768498,-0.174123079980676,0.1312121645003812,0.04615175909014357,0.20471881265579303,0.005688081924213763,0.12766665774794062,0.6161153613876403,-0.002904601470233219,0.035855708452378274
cough,-0.04926117909541036,1.0,-0.08168005826490986,0.18149190947298596,0.056719539335802566,-0.3525224061753605,0.29352519580607894,-0.1019524638212862,-0.42593785157597047,-0.07652017522370583,-0.3883754107140644,-0.22893900641455583,-0.4792013516895056,-0.17017489859494442,0.2107960272836228
fever,0.4030755062404339,-0.08168005826490986,1.0,0.15766003643645662,-0.05980972902524034,0.5388609098400122,-0.035758131206401735,0.1891891788671898,0.20623241233494502,-0.023761142877604193,0.26552776327195,-0.36095622233970326,0.6074251257102486,0.20743965051877758,0.28293528889163455
headache,0.14136716710573557,0.18149190947298596,0.15766003643645662,1.0,-0.07184116930900895,0.20968879266294674,-0.2044254252217283,-0.022065535233568134,0.2450600887422182,-0.13724383173577387,-0.1683337545118857,0.16982296359391466,-0.05378020861154668,0.07700309938394916,-0.47251900092245236
lagnat,0.27662578392259657,0.056719539335802566,-0.05980972902524034,-0.07184116930900895,1.0,-0.08561382096281263,-0.1496766987293989,0.3996454095565533,0.16434653283304956,0.22810045029184237,-0.2674118928372232,0.256252711467233,0.12651422196550297,0.06259476541566403,-0.10969756137497624
rashes,0.06469931815768498,-0.3525224061753605,0.5388609098400122,0.20968879266294674,-0.08561382096281263,1.0,-0.04317809661611074,-0.4704798217609798,0.3564526748158361,-0.18613449169819113,0.44053560345396864,-0.12303568580120862,0.32463952860006,0.3088371217606038,0.398679655350278
sipon,-0.174123079980676,0.29352519580607894,-0.035758131206401735,-0.2044254252217283,-0.1496766987293989,-0.04317809661611074,1.0,0.06693296393390265,-0.3593792514046163,0.07344331276360906,-0.1541879905549051,-0.42010095951540954,-0.24610651521444912,-0.06888134472433022,0.26767533228285173
ubo,0.1312121645003812,-0.1019524638212862,0.1891891788671898,-0.022065535233568134,0.3996454095565533,-0.4704798217609798,0.06693296393390265,1.0,0.3147588499677482,0.6361009204636199,-0.31648889171702926,0.5175590720852622,0.32831893120555766,0.8119618199875119,
ecq,0.04615175909014357,-0.42593785157597047,0.20623241233494502,0.2450600887422182,0.16434653283304956,0.3564526748158361,-0.3593792514046163,0.3147588499677482,1.0,0.24679216771778603,0.06042784896368203,0.27993024833702873,0.35139610584391306,0.5248383256023335,-0.38321973394614545
face-shield,0.20471881265579303,-0.07652017522370583,-0.023761142877604193,-0.13724383173577387,0.22810045029184237,-0.18613449169819113,0.07344331276360906,0.6361009204636199,0.24679216771778603,1.0,-0.2598950943484793,0.260410924547299,0.18356694200722046,-0.1096177986127965,0.101995566025165
Frontliners,0.005688081924213763,-0.3883754107140644,0.26552776327195,-0.1683337545118857,-0.2674118928372232,0.44053560345396864,-0.1541879905549051,-0.31648889171702926,0.06042784896368203,-0.2598950943484793,1.0,-0.24234873105518265,0.19782911618531082,0.5458436080860961,-0.1429307385035077
masks,0.12766665774794062,-0.22893900641455583,-0.36095622233970326,0.16982296359391466,0.256252711467233,-0.12303568580120862,-0.42010095951540954,0.5175590720852622,0.27993024833702873,0.260410924547299,-0.24234873105518265,1.0,0.08589393740364885,-0.10196672478542379,0.1264798343928644
Quarantine,0.6161153613876403,-0.4792013516895056,0.6074251257102486,-0.05378020861154668,0.12651422196550297,0.32463952860006,-0.24610651521444912,0.32831893120555766,0.35139610584391306,0.18356694200722046,0.19782911618531082,0.08589393740364885,1.0,0.18252532436971164,0.06792939470996145
social-distancing,-0.002904601470233219,-0.17017489859494442,0.20743965051877758,0.07700309938394916,0.06259476541566403,0.3088371217606038,-0.06888134472433022,0.8119618199875119,0.5248383256023335,-0.1096177986127965,0.5458436080860961,-0.10196672478542379,0.18252532436971164,1.0,-0.12313207876034585
work-from-home,0.035855708452378274,0.2107960272836228,0.28293528889163455,-0.47251900092245236,-0.10969756137497624,0.398679655350278,0.26767533228285173,,-0.38321973394614545,0.101995566025165,-0.1429307385035077,0.1264798343928644,0.06792939470996145,-0.12313207876034585,1.0
