,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.22695809525432592,0.20301279132395209,-0.0208088222069995,-0.32061152146390726,0.04528962691593839,0.010954075303651837,-0.3645351497662574,0.28061860045679565,0.6379829388342935,0.08268950978595335,-0.2329553390708931,0.4826079509953626,0.517306268691754,-0.17861756826831218
cough,0.22695809525432592,0.0,-0.3504602771120482,-0.16655371583605208,-0.13648821823264212,-0.08544887463199831,0.26448342622029325,0.17033460690244812,-0.31682502157242515,0.046404286535721866,0.33169526787778,0.17383891253659658,0.04607681919389529,-0.25193726381891673,-0.012457436167227578
fever,0.20301279132395209,-0.3504602771120482,0.0,-0.06078621435848993,0.13971355287282905,0.1811703281134614,-0.2709821667231063,-0.22959214683118578,0.6290009305808116,0.36859669129271005,-0.03410449458107836,-0.04950343184987387,0.4164757807355617,0.5681821885800414,-0.036454063968680846
headache,-0.0208088222069995,-0.16655371583605208,-0.06078621435848993,0.0,-0.1077819209336341,0.1295305828492231,-0.23026291634888232,-0.01538908957188381,-0.11784652969774126,0.10077783649412142,0.024483036611188443,-0.036078054398358116,0.17934951523233822,-0.0012870134440024306,-0.1070738442014895
lagnat,-0.32061152146390726,-0.13648821823264212,0.13971355287282905,-0.1077819209336341,0.0,0.028976944596527287,0.1611608862491344,0.1958664374864663,0.030207004225972913,-0.10169118327668189,-0.0746664499991571,0.05384130368682093,-0.0929673819358956,0.05733819539576217,0.31437899570287897
rashes,0.04528962691593839,-0.08544887463199831,0.1811703281134614,0.1295305828492231,0.028976944596527287,0.0,-0.13403450687662968,0.2252093557752208,-0.1737139780294709,-0.03798176978426995,-0.25856561372688575,-0.2565427545199443,0.024543187636740387,0.19203758194832488,-0.33080444180841473
sipon,0.010954075303651837,0.26448342622029325,-0.2709821667231063,-0.23026291634888232,0.1611608862491344,-0.13403450687662968,0.0,0.22932525174693585,-0.2351566862609099,0.029772163241751044,0.2169158020176703,-0.07158384488838558,-0.18293384005709215,-0.18824163765370444,0.009456535976190443
ubo,-0.3645351497662574,0.17033460690244812,-0.22959214683118578,-0.01538908957188381,0.1958664374864663,0.2252093557752208,0.22932525174693585,0.0,-0.49594620886835444,-0.5691017460694783,-0.1656169810410679,-0.06182946750996151,-0.5781625515342401,-0.30145142152004795,-0.03393506260030952
ecq,0.28061860045679565,-0.31682502157242515,0.6290009305808116,-0.11784652969774126,0.030207004225972913,-0.1737139780294709,-0.2351566862609099,-0.49594620886835444,0.0,0.4430068088549662,0.02537710942311941,0.10175695651520905,0.542572172474298,0.3807380142249245,0.14388402200158282
face-shield,0.6379829388342935,0.046404286535721866,0.36859669129271005,0.10077783649412142,-0.10169118327668189,-0.03798176978426995,0.029772163241751044,-0.5691017460694783,0.4430068088549662,0.0,0.41964524254743873,-0.17440603361143905,0.7679013719114735,0.42687002956910414,-0.10710446712227771
Frontliners,0.08268950978595335,0.33169526787778,-0.03410449458107836,0.024483036611188443,-0.0746664499991571,-0.25856561372688575,0.2169158020176703,-0.1656169810410679,0.02537710942311941,0.41964524254743873,0.0,-0.1550602176071157,0.5586834569804705,-0.21377202340853907,0.018715012183846445
masks,-0.2329553390708931,0.17383891253659658,-0.04950343184987387,-0.036078054398358116,0.05384130368682093,-0.2565427545199443,-0.07158384488838558,-0.06182946750996151,0.10175695651520905,-0.17440603361143905,-0.1550602176071157,0.0,-0.08907056690837067,-0.30899899473643216,0.19375140480879985
Quarantine,0.4826079509953626,0.04607681919389529,0.4164757807355617,0.17934951523233822,-0.0929673819358956,0.024543187636740387,-0.18293384005709215,-0.5781625515342401,0.542572172474298,0.7679013719114735,0.5586834569804705,-0.08907056690837067,0.0,0.28941742873756593,-0.010404835749688526
social-distancing,0.517306268691754,-0.25193726381891673,0.5681821885800414,-0.0012870134440024306,0.05733819539576217,0.19203758194832488,-0.18824163765370444,-0.30145142152004795,0.3807380142249245,0.42687002956910414,-0.21377202340853907,-0.30899899473643216,0.28941742873756593,0.0,0.04505718386465154
work-from-home,-0.17861756826831218,-0.012457436167227578,-0.036454063968680846,-0.1070738442014895,0.31437899570287897,-0.33080444180841473,0.009456535976190443,-0.03393506260030952,0.14388402200158282,-0.10710446712227771,0.018715012183846445,0.19375140480879985,-0.010404835749688526,0.04505718386465154,0.0
