,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,-0.0914808536960412,0.4610531854547391,0.09066130449865197,-0.02533577681840985,0.479576075956698,0.5983545107432287,0.16524125226161968,0.1325650369148762,0.3990704813251693,-0.25985851503643287,-0.11052708164364876,0.47586631212932534,-0.006239707801970404,0.12336741944532716
cough,-0.0914808536960412,1.0,-0.10091299135337983,0.007629826588603007,-0.027211915117404138,-0.030659924909013186,0.09329179467959323,-0.41120715985682227,0.1765583441842252,0.24011804091553074,0.022867423887068507,0.07502322601212028,-0.034080088963099546,-0.1379695515053357,-0.01784848597375633
fever,0.4610531854547391,-0.10091299135337983,1.0,0.40393447891600726,0.03531635182201588,0.5418250563405953,0.5086878634890338,-0.04546302562707289,0.19220907416913574,0.01968713787329295,-0.2491511862859294,-0.25487917759305956,0.43698954882144775,-0.08605884921748103,-0.02495084157044339
headache,0.09066130449865197,0.007629826588603007,0.40393447891600726,1.0,0.013899298284192719,0.43577430560295366,0.18775924907872624,-0.14242398374568307,-0.1664729277631553,0.05677690773432929,-0.10504182556262984,-0.1532475009806767,-0.11806421151861271,-0.024880290377709217,0.025934765537820335
lagnat,-0.02533577681840985,-0.027211915117404138,0.03531635182201588,0.013899298284192719,1.0,0.26059537008120465,0.24253445700925944,0.03198784954844365,-0.014948742606322831,0.16496133879686803,-0.08169575810802132,-0.26277560339365064,0.0002782459261249803,-0.10095513534385277,-0.012658173110068387
rashes,0.479576075956698,-0.030659924909013186,0.5418250563405953,0.43577430560295366,0.26059537008120465,1.0,0.46761340313275235,-0.09472677970709546,-0.08963061149252065,0.41399041730402225,-0.4220592087556896,-0.29759691146270956,0.2162783504579956,0.17304536783545058,0.3575356018019034
sipon,0.5983545107432287,0.09329179467959323,0.5086878634890338,0.18775924907872624,0.24253445700925944,0.46761340313275235,1.0,-0.017614739729099656,0.28810740800053436,0.7231201528716826,-0.6442625550431236,-0.3424960848590132,0.47463265458370907,-0.276723235714525,-0.3431718957753785
ubo,0.16524125226161968,-0.41120715985682227,-0.04546302562707289,-0.14242398374568307,0.03198784954844365,-0.09472677970709546,-0.017614739729099656,1.0,0.24403264832714708,-0.4018214391505572,-0.3285522491053595,-0.009491588459320494,0.24556977001619026,-0.40133743834617164,-0.17654120314002486
ecq,0.1325650369148762,0.1765583441842252,0.19220907416913574,-0.1664729277631553,-0.014948742606322831,-0.08963061149252065,0.28810740800053436,0.24403264832714708,1.0,-0.10827865339637521,-0.3123776267955933,0.17925226673802233,0.6922509930560818,-0.1226885773868166,-0.4244734765751903
face-shield,0.3990704813251693,0.24011804091553074,0.01968713787329295,0.05677690773432929,0.16496133879686803,0.41399041730402225,0.7231201528716826,-0.4018214391505572,-0.10827865339637521,1.0,-0.2033410912417837,-0.2720528845291959,0.2402876173749628,0.060236119997560185,0.22678060661217167
Frontliners,-0.25985851503643287,0.022867423887068507,-0.2491511862859294,-0.10504182556262984,-0.08169575810802132,-0.4220592087556896,-0.6442625550431236,-0.3285522491053595,-0.3123776267955933,-0.2033410912417837,1.0,0.3260304051913557,-0.3778980337839201,0.2705990545108611,0.13547935013793902
masks,-0.11052708164364876,0.07502322601212028,-0.25487917759305956,-0.1532475009806767,-0.26277560339365064,-0.29759691146270956,-0.3424960848590132,-0.009491588459320494,0.17925226673802233,-0.2720528845291959,0.3260304051913557,1.0,0.20946021380304217,0.18247084411140765,-0.06926539652192958
Quarantine,0.47586631212932534,-0.034080088963099546,0.43698954882144775,-0.11806421151861271,0.0002782459261249803,0.2162783504579956,0.47463265458370907,0.24556977001619026,0.6922509930560818,0.2402876173749628,-0.3778980337839201,0.20946021380304217,1.0,-0.17436527577995678,-0.24992466466597166
social-distancing,-0.006239707801970404,-0.1379695515053357,-0.08605884921748103,-0.024880290377709217,-0.10095513534385277,0.17304536783545058,-0.276723235714525,-0.40133743834617164,-0.1226885773868166,0.060236119997560185,0.2705990545108611,0.18247084411140765,-0.17436527577995678,1.0,0.44137918511620416
work-from-home,0.12336741944532716,-0.01784848597375633,-0.02495084157044339,0.025934765537820335,-0.012658173110068387,0.3575356018019034,-0.3431718957753785,-0.17654120314002486,-0.4244734765751903,0.22678060661217167,0.13547935013793902,-0.06926539652192958,-0.24992466466597166,0.44137918511620416,1.0
