,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,-0.0462996068301902,0.3239876578863424,0.04948022633929929,-0.0675068559548898,0.13704568838376038,0.2578932835822729,0.19907395344364537,0.12716670958043524,0.2931925480871746,-0.12508698111662905,-0.21931929540776268,0.33960420319078144,0.13436079977031687,0.32029922583488996
cough,-0.0462996068301902,0.0,-0.07469207105066221,0.08559723797722972,-0.0047536013479099306,-0.039255391732140335,0.06883170531513828,-0.34486471429339194,0.2167440971784102,0.26800767826163246,-0.19569315937873918,-0.023281880458658505,-0.00034776739556067267,-0.28209785303309837,-0.08710796434048354
fever,0.3239876578863424,-0.07469207105066221,0.0,0.501549293570403,-0.025708311263125012,0.5634864413571589,0.440247350320632,0.0716132558637543,0.06631254648547726,0.12148586608739863,-0.445491719656188,-0.11604133335355032,0.46328113712033014,-0.14541375444828733,0.08195826106742755
headache,0.04948022633929929,0.08559723797722972,0.501549293570403,0.0,0.0055742227365863884,0.5107598785243905,0.16557049683929617,-0.18069890912973935,-0.21464826776220783,0.10633943144041912,-0.26870052267471756,-0.015168125694399872,-0.06825745356520975,-0.2515374229067505,0.001300589012606623
lagnat,-0.0675068559548898,-0.0047536013479099306,-0.025708311263125012,0.0055742227365863884,0.0,0.14855002767698694,0.14222195917856317,-0.03314440613397104,-0.06264971605259455,0.11407517522389801,0.07808332426317116,-0.15185453150317932,-0.13115715070701472,0.08751507127043179,0.14414596356636497
rashes,0.13704568838376038,-0.039255391732140335,0.5634864413571589,0.5107598785243905,0.14855002767698694,0.0,0.479037015393386,-0.203798417462826,-0.24282128702156586,0.5097302761298834,-0.5549989492525972,0.08934667355434714,0.2345878563303938,0.13346220840952866,0.4952518458266776
sipon,0.2578932835822729,0.06883170531513828,0.440247350320632,0.16557049683929617,0.14222195917856317,0.479037015393386,0.0,-0.058482524273705684,0.07257993307473974,0.6167771664635743,-0.762179972971812,-0.10955402564562457,0.2255522856685352,0.05157927493864162,0.0769150943765776
ubo,0.19907395344364537,-0.34486471429339194,0.0716132558637543,-0.18069890912973935,-0.03314440613397104,-0.203798417462826,-0.058482524273705684,0.0,0.2319783474651279,-0.413938017349054,-0.22381035621230103,0.016971561352256796,0.18685120905323696,-0.3046469190245505,-0.032649282379543426
ecq,0.12716670958043524,0.2167440971784102,0.06631254648547726,-0.21464826776220783,-0.06264971605259455,-0.24282128702156586,0.07257993307473974,0.2319783474651279,0.0,-0.21287335391608406,-0.10721539588278892,0.12148430240564655,0.5680478411344448,0.10011330038138914,-0.32216776307538725
face-shield,0.2931925480871746,0.26800767826163246,0.12148586608739863,0.10633943144041912,0.11407517522389801,0.5097302761298834,0.6167771664635743,-0.413938017349054,-0.21287335391608406,0.0,-0.26007584456603927,-0.08875944664931802,0.26233575957802335,0.061457944736355574,0.3481204175877206
Frontliners,-0.12508698111662905,-0.19569315937873918,-0.445491719656188,-0.26870052267471756,0.07808332426317116,-0.5549989492525972,-0.762179972971812,-0.22381035621230103,-0.10721539588278892,-0.26007584456603927,0.0,0.058649342570149886,-0.3266409236762657,0.2004087196584334,-0.2781191340854489
masks,-0.21931929540776268,-0.023281880458658505,-0.11604133335355032,-0.015168125694399872,-0.15185453150317932,0.08934667355434714,-0.10955402564562457,0.016971561352256796,0.12148430240564655,-0.08875944664931802,0.058649342570149886,0.0,0.3321991542812278,-0.03883000121447811,-0.08141982047470267
Quarantine,0.33960420319078144,-0.00034776739556067267,0.46328113712033014,-0.06825745356520975,-0.13115715070701472,0.2345878563303938,0.2255522856685352,0.18685120905323696,0.5680478411344448,0.26233575957802335,-0.3266409236762657,0.3321991542812278,0.0,0.05972675945417828,0.01175145279248794
social-distancing,0.13436079977031687,-0.28209785303309837,-0.14541375444828733,-0.2515374229067505,0.08751507127043179,0.13346220840952866,0.05157927493864162,-0.3046469190245505,0.10011330038138914,0.061457944736355574,0.2004087196584334,-0.03883000121447811,0.05972675945417828,0.0,0.1860605258188088
work-from-home,0.32029922583488996,-0.08710796434048354,0.08195826106742755,0.001300589012606623,0.14414596356636497,0.4952518458266776,0.0769150943765776,-0.032649282379543426,-0.32216776307538725,0.3481204175877206,-0.2781191340854489,-0.08141982047470267,0.01175145279248794,0.1860605258188088,0.0
