,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,2.4424906541753444e-15,0.2768813960406742,0.2627542267551964,0.29351211156510265,0.27784964186962624,0.3970313423662956,0.2994053678513318,0,0,0.2670441961032143,0.3202847070757058,0,0.3053024779425174,0,0
cough,0.2768813960406352,1.3988810110276972e-14,0.40079402756177135,0.3261263302036669,0.2445085655876607,0.2551979887444532,0.4259211271616931,0,0,0.3665978645384033,0.2219158137730954,0,0.2909930310660775,0,0
fever,0.26275422675528404,0.40079402756169513,-3.3639757646142243e-14,0.27786139181630337,0.16385716387513335,0.2666874349435713,0.5980408819221263,0,0,0.4053934221934282,0.28680257109625157,0,0.3162938488988796,0,0
headache,0.2935121115651521,0.3261263302036791,0.27786139181632724,1.1324274851176597e-14,0.17932083380943742,0.2950930083612645,0.4230821971473212,0,0,0.4020449356110052,0.25060080032624593,0,0.3311197385153065,0,0
lagnat,0.2778496418696237,0.24450856558765788,0.16385716387513727,0.17932083380943667,-3.3306690738754696e-16,0.1914528074752959,0.23077005867022343,0,0,0.3440280202387699,0.40757369143760075,0,0.33477951032338915,0,0
rashes,0.39703134236629406,0.255197988744421,0.26668743494353625,0.295093008361191,0.191452807475295,-7.771561172376096e-16,0.28320393902858965,0,0,0.27783743720980786,0.23283178710038077,0,0.39094117747607854,0,0
sipon,0.2994053678513334,0.42592112716171704,0.5980408819221541,0.423082197147313,0.23077005867022643,0.2832039390285807,4.440892098500626e-16,0,0,0.4239849903108445,0.18409564081555158,0,0.36164156106275824,0,0
ubo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,0,0.0,0,0
ecq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0.0,0,0
face-shield,0.2670441961032457,0.3665978645384097,0.40539342219342395,0.402044935610993,0.3440280202387702,0.27783743720982557,0.4239849903108516,0,0,-1.7763568394002505e-15,0.24928423076883066,0,0.4519602730231,0,0
Frontliners,0.32028470707570206,0.22191581377309683,0.2868025710962447,0.25060080032625187,0.40757369143759997,0.23283178710038158,0.1840956408155524,0,0,0.2492842307688286,-4.440892098500626e-16,0,0.3313144629605783,0,0
masks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,0.0,0,0
Quarantine,0.3053024779425297,0.29099303106603536,0.31629384889894196,0.33111973851529736,0.33477951032338915,0.39094117747607854,0.3616415610627676,0,0,0.45196027302309755,0.3313144629605799,0,-1.2212453270876722e-15,0,0
social-distancing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0
work-from-home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,-1
