,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.7527677342545067,0.49842663131604414,0.2909981071450554,0.44486223208207165,0.33800272261231307,0.42679093663350937,0.3469508908363806,0.6998422311915454,0.7597189981486834,0.36522954613191744,0.3248398142759651,0.5420790321949895,0.32994340077968165,0.39552697766945416
cough,0.7527677342545067,0.0,0.419753438811733,0.3083714431928363,0.21514758509340795,0.39106422443625555,0.4855585662460408,0.32394659264692777,0.6900748312943151,0.6102178878707603,0.3785237717621822,0.27606554010512396,0.5063380273926853,0.3856255906240962,0.2515954063712859
fever,0.49842663131604414,0.419753438811733,0.0,0.3924541897834263,0.25858285923180674,0.3245793891195472,0.32375318741826686,0.3508055798979144,0.3438290362419688,0.4308006403090872,0.22269695560484137,0.2643081325319274,0.22250053172441883,0.27316102918260865,0.2135060938372944
headache,0.2909981071450554,0.3083714431928363,0.3924541897834263,0.0,0.2558729819689989,0.2832200253402896,0.2503402885148299,0.40832870126179904,0.16391492844678923,0.25032996531757773,0.25430989187974035,0.3342363209062059,0.2575822469233127,0.3362506232977876,0.24948571307282186
lagnat,0.44486223208207165,0.21514758509340795,0.25858285923180674,0.2558729819689989,0.0,0.25071618878417823,0.20365853156621647,0.3050358303776841,0.14136491695145983,0.42896496976874954,0.2527673965995521,0.2923114049571441,0.16503566221214871,0.140939132620324,0.21625919958866938
rashes,0.33800272261231307,0.39106422443625555,0.3245793891195472,0.2832200253402896,0.25071618878417823,0.0,0.23742747621742985,0.23303006841060858,0.2769543106850138,0.4070351426289993,0.33640193076178465,0.2340448059905802,0.33566864690715775,0.2623233701273942,0.44070546662575444
sipon,0.42679093663350937,0.4855585662460408,0.32375318741826686,0.2503402885148299,0.20365853156621647,0.23742747621742985,0.0,0.3456468813835758,0.5341708026818874,0.31369792702457583,0.48906660800660134,0.3105026525084841,0.403755947579865,0.24281250504711951,0.29725770082939734
ubo,0.3469508908363806,0.32394659264692777,0.3508055798979144,0.40832870126179904,0.3050358303776841,0.23303006841060858,0.3456468813835758,0.0,0.3020690955369283,0.3181180248942053,0.2544923578102118,0.19508368837940077,0.28491719593750625,0.2209450485310974,0.2921848296710591
ecq,0.6998422311915454,0.6900748312943151,0.3438290362419688,0.16391492844678923,0.14136491695145983,0.2769543106850138,0.5341708026818874,0.3020690955369283,0.0,0.3907615500662631,0.6211253740582832,0.31751191681941926,0.841474536521657,0.27369064730495407,0.3043894871725998
face-shield,0.7597189981486834,0.6102178878707603,0.4308006403090872,0.25032996531757773,0.42896496976874954,0.4070351426289993,0.31369792702457583,0.3181180248942053,0.3907615500662631,0.0,0.27105033356838715,0.3254824528134177,0.375812925369194,0.2821700576193422,0.38629154221524026
Frontliners,0.36522954613191744,0.3785237717621822,0.22269695560484137,0.25430989187974035,0.2527673965995521,0.33640193076178465,0.48906660800660134,0.2544923578102118,0.6211253740582832,0.27105033356838715,0.0,0.43940842686713655,0.606624256108912,0.2203205989337318,0.3776130069979218
masks,0.3248398142759651,0.27606554010512396,0.2643081325319274,0.3342363209062059,0.2923114049571441,0.2340448059905802,0.3105026525084841,0.19508368837940077,0.31751191681941926,0.3254824528134177,0.43940842686713655,0.0,0.377580847185702,0.278326549104402,0.2791451469083315
Quarantine,0.5420790321949895,0.5063380273926853,0.22250053172441883,0.2575822469233127,0.16503566221214871,0.33566864690715775,0.403755947579865,0.28491719593750625,0.841474536521657,0.375812925369194,0.606624256108912,0.377580847185702,0.0,0.25558402948130826,0.36455046429064575
social-distancing,0.32994340077968165,0.3856255906240962,0.27316102918260865,0.3362506232977876,0.140939132620324,0.2623233701273942,0.24281250504711951,0.2209450485310974,0.27369064730495407,0.2821700576193422,0.2203205989337318,0.278326549104402,0.25558402948130826,0.0,0.20586476409823828
work-from-home,0.39552697766945416,0.2515954063712859,0.2135060938372944,0.24948571307282186,0.21625919958866938,0.44070546662575444,0.29725770082939734,0.2921848296710591,0.3043894871725998,0.38629154221524026,0.3776130069979218,0.2791451469083315,0.36455046429064575,0.20586476409823828,0.0
