,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.28313977493238185,0.2469992218762535,0.2553152079643479,0.19479037425639378,0.3385047558708457,0.33866044180128896,0.2900181594566307,0.3986615622513203,0.3062158074168427,0.3661552686135295,0.26261877029260144,0.25138882898356324,0.3394383402692515,0.5639430383592346
cough,0.28313977493237563,1.0,0.2707362720111642,0.4315584131870137,0.26395982913686356,0.35603839208716637,0.3422897223123907,0.3103897908852123,0.30383385747585195,0.2759534614983925,0.3093635281875779,0.33393188701881543,0.28637416360274764,0.2886809972381599,0.3070329479297791
fever,0.24699922187627496,0.27073627201112976,1.0,0.2757772991988911,0.2533160666820242,0.34261253004558867,0.31107288633895375,0.18732942170569147,0.2662168336674184,0.3523122949949905,0.43059736448205777,0.3646841194418927,0.2783008926776787,0.29795882923381894,0.34561046485124386
headache,0.25531520796427243,0.4315584131870069,0.2757772991987749,1.0,0.18903392011514095,0.3008534293014244,0.2639981350537872,0.1937967270829398,0.37609398892066237,0.2406365764718734,0.5780452381578884,0.23206076156669828,0.3129560793370029,0.3184650952916991,0.22382943891404317
lagnat,0.1947903742563879,0.2639598291368556,0.2533160666820226,0.18903392011513587,1.0,0.1504343681778476,0.1838080161744282,0.1102541473870014,0.1036954079704744,0.24132592933847052,0.3056217256181128,0.24608929132504462,0.22099362333018718,0.2161830578853143,0.31555306147695056
rashes,0.33850475587085516,0.35603839208716503,0.3426125300455844,0.3008534293014479,0.1504343681778476,1.0,0.5476160296186604,0.3087565344511155,0.29846676890901513,0.2275104366917035,0.4736520001873622,0.3386371432909821,0.27796738784999275,0.381133673041866,0.37093701537285156
sipon,0.3386604418012898,0.3422897223123901,0.31107288633893515,0.2639981350538072,0.1838080161744274,0.5476160296186575,1.0,0.22717185807388118,0.21352662174972392,0.38280858999854356,0.4277034848215222,0.34657045495915123,0.3045895222609436,0.2923465308841068,0.33037935311187566
ubo,0.2900181594566235,0.3103897908852131,0.18732942170567432,0.19379672708295242,0.1102541473870014,0.30875653445111595,0.2271718580738806,1.0,0.5635445495182041,0.21615429124785607,0.39559401655731424,0.2005256930024182,0.21766290055187898,0.2555479078150313,0.20017584984681588
ecq,0.3986615622513143,0.3038338574758568,0.2662168336674117,0.3760939889206645,0.10369540797047186,0.29846676890902596,0.213526621749716,0.5635445495182041,1.0,0.2508913639653636,0.4299435284791394,0.30273987460495166,0.2907842139779007,0.29138163861263083,0.49051907230725394
face-shield,0.30621580741684146,0.2759534614983734,0.3523122949948994,0.24063657647189637,0.24132592933847052,0.22751043669168608,0.38280858999853146,0.21615429124785274,0.25089136396537076,1.0,0.3573294148395761,0.35834817873383185,0.31137249493745567,0.2790327777726696,0.27978493233736607
Frontliners,0.3661552686135434,0.30936352818756924,0.4305973644820619,0.5780452381578955,0.30562172561811507,0.4736520001873588,0.4277034848215177,0.39559401655731546,0.42994352847914574,0.3573294148395906,1.0,0.22707102828477113,0.24039063830441337,0.28863544521607687,0.3207532817900462
masks,0.26261877029258307,0.3339318870188079,0.3646841194418998,0.23206076156670177,0.24608929132504279,0.3386371432909821,0.3465704549591436,0.20052569300241924,0.3027398746049523,0.3583481787338196,0.22707102828475575,1.0,0.4410602202973833,0.27741779191598004,0.2613590895523887
Quarantine,0.251388828983571,0.28637416360284823,0.27830089267771696,0.3129560793369067,0.22099362333017353,0.27796738784998903,0.30458952226093683,0.21766290055187337,0.29078421397790827,0.3113724949375346,0.24039063830443497,0.4410602202973933,1.0,0.33893871198583564,0.22998647103187492
social-distancing,0.3394383402692565,0.28868099723816765,0.29795882923382266,0.31846509529170075,0.2161830578853136,0.3811336730418631,0.2923465308841061,0.2555479078150323,0.2913816386126333,0.27903277777267255,0.28863544521607437,0.2774177919159778,0.33893871198587,1.0,0.3307390693952068
work-from-home,0.5639430383592259,0.30703294792979513,0.34561046485122404,0.22382943891408638,0.31555306147695056,0.37093701537283347,0.3303793531118596,0.2001758498468197,0.4905190723072568,0.2797849323373917,0.32075328179003,0.2613590895523806,0.22998647103192646,0.33073906939521236,1.0
