,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.27754356834230337,0.2111309325190654,0.30066415767191895,0.24811669667717678,0.3122574129279017,0.21910898827732092,0.275953274826665,0.23430616384095032,0.3399714777526605,0.2647711146613082,0.47766769015711297,0.29799312549026186,0.24925056463809098,0.2501270902385607
cough,0.2775435683423289,1.0,0.3598033410612525,0.33973751554674825,0.28489747030952833,0.2729579365856383,0.25411466173170844,0.2524122645393131,0.4385020881462905,0.22885732289395105,0.19647757322620604,0.2295722775572855,0.24002060909223963,0.28974561419975603,0.2530059492334177
fever,0.211130932519008,0.3598033410612415,1.0,0.25063620733674147,0.18986425156636264,0.34254792139682044,0.26952745426986496,0.2291586617568301,0.26760374427531397,0.2881812256300489,0.37812712882037985,0.28725217424039595,0.3236670081352053,0.5326045462935003,0.3742385544589337
headache,0.3006641576719435,0.3397375155467469,0.25063620733685954,1.0,0.2478819689183131,0.2523069408078893,0.2798412425854261,0.21101509193265697,0.33660457518763987,0.23317331305440236,0.25527340361599815,0.3105917828853648,0.20461223278422702,0.1356298872953405,0.3029491935050315
lagnat,0.24811669667717853,0.28489747030953133,0.18986425156636755,0.2478819689183147,1.0,0.1415561401911133,0.15500194817259091,0.16794822013248126,0.14624107489086657,0.3318362946530262,0.23003577141087203,0.1559691612253391,0.3979470528898667,0.2747116561045567,0.2896258859613017
rashes,0.3122574129279091,0.2729579365856042,0.342547921396844,0.25230694080793153,0.14155614019110532,1.0,0.22932799788508954,0.3122938369236751,0.33219949814437666,0.2983099622977626,0.4581391750619513,0.2700551290395642,0.25527875639291464,0.28548928142232455,0.43868063068511687
sipon,0.2191089882773346,0.25411466173169844,0.26952745426987323,0.2798412425854319,0.15500194817259091,0.22932799788508654,1.0,0.2136567116999618,0.1702181709045638,0.5171598300280852,0.3189129995819773,0.2414411236988636,0.4356581925624705,0.291075295738215,0.2574442748889869
ubo,0.275953274826665,0.2524122645393194,0.22915866175681956,0.21101509193266452,0.16794822013248065,0.3122938369236707,0.2136567116999618,1.0,0.5087443569116471,0.24597104178410595,0.42797022026844594,0.219469441500183,0.3222632355557225,0.336727808812687,0.25785117828141624
ecq,0.2343061638409674,0.43850208814629604,0.2676037442753225,0.33660457518764453,0.1462410748908643,0.3321994981443762,0.17021817090456245,0.5087443569116474,1.0,0.2824123588449843,0.23820129833529352,0.16246690533255495,0.22403356954750298,0.16105797887201168,0.40326719222134355
face-shield,0.3399714777526659,0.22885732289395594,0.2881812256300597,0.23317331305436542,0.3318362946530262,0.29830996229777645,0.5171598300280857,0.2459710417841079,0.28241235884497967,1.0,0.4873647373359287,0.5345888769810001,0.5144924324697775,0.272079876469978,0.3140257281292116
Frontliners,0.26477111466130665,0.19647757322619863,0.37812712882037985,0.2552734036160011,0.23003577141087153,0.4581391750619513,0.3189129995819793,0.4279702202684455,0.23820129833529483,0.48736473733592456,1.0,0.34307452808940986,0.5357724770453484,0.36410122992540317,0.2822386277683733
masks,0.47766769015711624,0.22957227755727033,0.2872521742403866,0.31059178288535877,0.1559691612253391,0.2700551290395611,0.24144112369886264,0.21946944150018424,0.1624669053325515,0.5345888769809995,0.34307452808940986,1.0,0.3811311222548724,0.18322617588542006,0.17198870223088825
Quarantine,0.297993125490259,0.24002060909219447,0.323667008135231,0.20461223278421128,0.39794705288986304,0.2552787563928763,0.43565819256246413,0.3222632355557232,0.2240335695475055,0.5144924324697676,0.5357724770453469,0.381131122254876,1.0,0.4136106178445399,0.1852824287869181
social-distancing,0.24925056463808679,0.28974561419975736,0.5326045462934971,0.13562988729533654,0.2747116561045567,0.28548928142232455,0.29107529573821445,0.33672780881268644,0.16105797887201076,0.2720798764699767,0.36410122992540317,0.18322617588542173,0.4136106178445361,1.0,0.18486421689375704
work-from-home,0.25012709023856844,0.2530059492333525,0.374238554458872,0.3029491935050272,0.2896258859613046,0.43868063068509494,0.2574442748889854,0.2578511782814137,0.40326719222134083,0.3140257281291956,0.28223862776837144,0.17198870223088825,0.18528242878691467,0.1848642168937638,1.0
