date,contact tracing,isPartial
2021-03-21,63,False
2021-03-22,100,False
2021-03-23,0,False
2021-03-24,0,False
2021-03-25,77,False
2021-03-26,0,False
2021-03-27,0,False
2021-03-28,62,False
2021-03-29,0,False
2021-03-30,48,False
2021-03-31,0,False
2021-04-01,63,False
2021-04-02,0,False
2021-04-03,0,False
2021-04-04,60,False
2021-04-05,0,False
2021-04-06,47,False
2021-04-07,0,False
2021-04-08,64,False
2021-04-09,0,False
2021-04-10,0,False
2021-04-11,0,False
2021-04-12,53,False
2021-04-13,44,False
2021-04-14,55,False
2021-04-15,67,False
