date,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
2020-03-16,100.0,96.0,97.0,79.0,50.0,66.0,100.0,91.0,0.01,0.01,14.0,53.0,100.0,100.0,100.0
2020-03-17,50.0,82.0,94.0,85.0,71.0,86.0,96.0,76.0,0.01,0.01,24.0,46.0,46.0,64.0,97.0
2020-03-18,38.0,87.0,94.0,70.0,79.0,37.0,63.0,72.0,5.0,57.0,33.0,46.0,38.0,59.0,79.0
2020-03-19,38.0,75.0,90.0,58.0,50.0,58.0,64.0,76.0,0.01,53.0,19.0,69.0,36.0,50.0,64.0
2020-03-20,35.0,71.0,95.0,55.0,51.0,64.0,66.0,92.0,5.0,42.0,26.0,38.0,39.0,52.0,67.0
2020-03-21,33.0,82.0,100.0,81.0,100.0,48.0,44.0,88.0,4.0,0.01,31.0,66.0,41.0,33.0,36.0
2020-03-22,33.0,95.0,82.0,90.0,72.0,94.0,72.0,47.0,4.0,70.0,48.0,75.0,39.0,44.0,41.0
2020-03-23,35.0,100.0,69.0,75.0,52.0,99.0,38.0,88.0,5.0,77.0,52.0,67.0,37.0,36.0,54.0
2020-03-24,27.0,89.0,79.0,84.0,57.0,91.0,59.0,74.0,6.0,89.0,63.0,43.0,35.0,48.0,51.0
2020-03-25,29.0,84.0,76.0,76.0,46.0,74.0,77.0,87.0,11.0,55.0,60.0,62.0,35.0,44.0,60.0
2020-03-26,27.0,94.0,82.0,81.0,58.0,80.0,83.0,100.0,8.0,69.0,64.0,43.0,36.0,23.0,50.0
2020-03-27,26.0,72.0,78.0,81.0,50.0,85.0,63.0,74.0,12.0,100.0,71.0,41.0,32.0,39.0,55.0
2020-03-28,27.0,77.0,65.0,91.0,66.0,95.0,69.0,86.0,11.0,71.0,78.0,69.0,23.0,26.0,23.0
2020-03-29,26.0,69.0,68.0,73.0,0.01,88.0,57.0,46.0,12.0,58.0,68.0,69.0,24.0,26.0,30.0
2020-03-30,22.0,52.0,63.0,86.0,46.0,98.0,51.0,44.0,17.0,82.0,73.0,46.0,28.0,31.0,38.0
