Category: All categories

Week,lagnat: (Metro Manila)
2020-03-15,98
2020-03-22,100
2020-03-29,71
2020-04-05,64
2020-04-12,55
2020-04-19,52
2020-04-26,48
2020-05-03,41
2020-05-10,36
2020-05-17,52
2020-05-24,44
2020-05-31,46
2020-06-07,48
2020-06-14,47
2020-06-21,72
2020-06-28,63
2020-07-05,77
2020-07-12,76
2020-07-19,89
2020-07-26,76
2020-08-02,76
2020-08-09,70
2020-08-16,55
2020-08-23,44
2020-08-30,49
2020-09-06,59
2020-09-13,43
2020-09-20,59
2020-09-27,45
2020-10-04,40
2020-10-11,52
2020-10-18,54
2020-10-25,59
2020-11-01,47
2020-11-08,57
2020-11-15,57
2020-11-22,47
2020-11-29,56
2020-12-06,59
2020-12-13,48
2020-12-20,45
2020-12-27,64
2021-01-03,71
2021-01-10,70
2021-01-17,53
2021-01-24,69
2021-01-31,58
2021-02-07,56
2021-02-14,54
2021-02-21,72
2021-02-28,67
2021-03-07,76
2021-03-14,91
2021-03-21,96
2021-03-28,92
2021-04-04,97
2021-04-11,76
