Category: All categories

Day,fever: (Metro Manila)
2020-07-13,78
2020-07-14,93
2020-07-15,86
2020-07-16,93
2020-07-17,83
2020-07-18,79
2020-07-19,83
2020-07-20,100
2020-07-21,98
2020-07-22,90
2020-07-23,76
2020-07-24,95
2020-07-25,94
2020-07-26,83
2020-07-27,85
2020-07-28,80
2020-07-29,100
2020-07-30,80
2020-07-31,80
2020-08-01,84
2020-08-02,93
2020-08-03,78
2020-08-04,86
2020-08-05,73
2020-08-06,69
2020-08-07,77
2020-08-08,94
2020-08-09,76
2020-08-10,83
2020-08-11,66
2020-08-12,85
2020-08-13,79
2020-08-14,75
2020-08-15,75
2020-08-16,68
2020-08-17,62
2020-08-18,71
2020-08-19,73
2020-08-20,67
2020-08-21,79
2020-08-22,87
2020-08-23,75
2020-08-24,70
2020-08-25,72
2020-08-26,60
2020-08-27,64
2020-08-28,44
2020-08-29,65
2020-08-30,79
2020-08-31,71
2020-09-01,65
2020-09-02,63
2020-09-03,70
2020-09-04,54
2020-09-05,68
2020-09-06,63
2020-09-07,62
2020-09-08,62
2020-09-09,62
2020-09-10,59
2020-09-11,44
2020-09-12,63
